band_index,F_score,p_value
649,1.5161722839764964,0.224457949468063
667,1.5149737823283405,0.22463827777362058
687,1.5149481039491677,0.22464214333023946
682,1.513698673055154,0.22483032834796718
672,1.5134628682218527,0.22486586622736135
678,1.512285055050521,0.22504347666548766
681,1.5107184958635511,0.22527997642418085
663,1.5097333678302254,0.22542885560950365
684,1.5083229106444953,0.2256422243680103
692,1.508140373455718,0.22566985609305262
670,1.5070811005106635,0.2258302867413112
662,1.5066226604946895,0.22589976266270015
648,1.5058793200458762,0.22601247079865078
668,1.5042994950779034,0.22625224010105108
675,1.5006941438899926,0.22680059752452708
685,1.4997059755014346,0.22695117935515516
190,1.4995014146294794,0.22698236671712704
650,1.4976370395669834,0.22726685313342776
686,1.4959613025530836,0.22752293042876517
653,1.4893806914169785,0.2285319949118829
660,1.4878699434749578,0.22876443059276746
652,1.484455814084728,0.22929078666631422
690,1.4843155356384972,0.22931244535766065
658,1.4829731737289868,0.22951983101785328
656,1.481352636804576,0.22977050161958512
647,1.4807618629546349,0.2298619688226269
659,1.479781138906492,0.2300139098647726
654,1.4756410671867086,0.23065669038859837
646,1.4718191923352197,0.2312520410584405
691,1.4654943413167683,0.2322414747070948
689,1.4631442191783097,0.23261045324411667
683,1.4622986948625554,0.2327433815100174
655,1.4598591452720466,0.23312744069669092
701,1.4593381801899974,0.23320955814589445
824,1.4590386649555285,0.23325678565169872
693,1.4580222794861553,0.23341713750418808
700,1.4568556481690549,0.2336013616138693
191,1.4561840968052437,0.2337074888105898
703,1.4517462079563632,0.2344103261826836
698,1.4460725855838938,0.23531269245110215
688,1.4435020744711824,0.2357229407490388
657,1.441587776534028,0.23602903589991872
695,1.4343686230935988,0.23718782661634366
208,1.4341650270053896,0.23722060948367885
645,1.4303718062986994,0.23783242237637675
702,1.4245992319578902,0.2387672594172307
694,1.4241814522630236,0.23883509390370739
699,1.424150969687028,0.23884004426938368
192,1.414297470347506,0.2404469716603595
697,1.4138422720035275,0.24052153137061283
409,1.4084003440793809,0.24141513476034696
823,1.4057144733856828,0.24185770055031783
696,1.4026889219164875,0.24235745110589915
706,1.3956801758101525,0.24352009646325806
644,1.3926339841823479,0.24402758664988924
704,1.391274151403411,0.24425455934403678
193,1.3729170270324793,0.24734460957570137
705,1.3708474364686107,0.24769604864227635
822,1.3665194345795717,0.24843301794733363
643,1.3649129862307956,0.24870726314419436
207,1.362322611516611,0.24915028075418988
194,1.3333804138791538,0.25416825818761113
707,1.3273297970059559,0.25523336002747943
821,1.318371794419804,0.2568206276601082
709,1.3146815056725158,0.25747813808801095
708,1.312562396228333,0.2578566692894021
206,1.3043504744943886,0.25933021696060143
195,1.2968045132973636,0.2606936856010426
641,1.2945334060506015,0.26110582815815664
642,1.2872138218672788,0.2624397709057803
711,1.2777974699093917,0.26416860155869426
634,1.26395709835707,0.2667360854961241
196,1.2639078105060502,0.2667452854448191
205,1.2590349407610837,0.26765684592010386
410,1.2587325018283042,0.26771355369407174
710,1.2509544442567775,0.2691772395721244
636,1.2505262238445478,0.2692581194114608
635,1.241301338509245,0.27100803778251203
197,1.23505087071136,0.2722020060496756
712,1.2283218568725442,0.2734949365537226
204,1.2243242923552118,0.2742667728960679
640,1.2156327303179304,0.2759545939242046
639,1.2143323150189949,0.2762082702911118
198,1.2117605408688528,0.276710839279529
820,1.19998109083276,0.2790278619542994
203,1.199790068744653,0.2790656418230508
637,1.1996786277623859,0.27908768538939493
638,1.1974176197606654,0.27953540946015004
714,1.1949131638368775,0.2800324240351132
628,1.1941886013860528,0.28017642780296437
199,1.1934890554542643,0.2803155504164699
629,1.1908872594636462,0.28083376817323513
713,1.1906210922411413,0.28088685233251237
202,1.1853588724816042,0.2819390139428088
200,1.1828063995538853,0.28245120814709646
201,1.1801582754696858,0.28298387013749365
633,1.1782899210998634,0.28336046682090593
627,1.1600663438266061,0.28706803748081416
818,1.15478094637773,0.28815512486759065
819,1.1527760750499656,0.2885688830942796
715,1.1441556798628039,0.2903567740154651
619,1.1409783868420522,0.29101939443514874
620,1.1391628421094593,0.291398910162743
617,1.1172563216466627,0.2960296096811009
411,1.116936910323737,0.2960978386323385
622,1.1163054077151253,0.2962327936305329
618,1.1128055346715993,0.29698219751028765
621,1.1072765893645482,0.29817115316102244
716,1.1006320186089125,0.29960830719186204
630,1.0798661168183583,0.30415901812267343
717,1.0707618441732687,0.306182959235856
632,1.0702665969187557,0.3062935667692168
631,1.068768083365425,0.3066285644567335
626,1.0655020247289866,0.3073603875344989
623,1.0500862890118146,0.31084606269678344
616,1.0471476143573664,0.3115164890076903
817,1.0385226164062602,0.3134953493641313
615,1.0335521485641481,0.3146433631904291
624,1.030038625465729,0.3154582621026044
815,1.0015225997514767,0.32217787113618723
608,0.9860216496544386,0.3259115187859576
412,0.9848093750651454,0.32620597325955325
625,0.9838757291492741,0.32643299579670015
718,0.9821209668410528,0.3268602573920312
816,0.9753127907338593,0.3285251472303571
607,0.9711959799992942,0.32953746515140603
614,0.962699782076248,0.33164010161886337
720,0.9393889560458911,0.3375037595979724
719,0.9369224166481,0.3381324665813129
814,0.9359951161756146,0.33836924529365375
613,0.9194908125619163,0.3426218345931735
609,0.9052103315997568,0.34636103046919975
612,0.9010897474565599,0.34745043983861656
602,0.9004238988371399,0.34762692339321544
